//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Какъв тип технология ви интересува?
DIPLO_TECH_COUNTER_MENU_01   | Какво ще търгувате за това?
DIPLO_TRADE_MENU_01          | С каква цел предлагате това търговско споразумение:
DIPLO_TREATY_MENU_01         | Какво целите?
DIPLO_THREATEN_MENU_01       | С какво ме заплашваш?
DIPLO_DECLARE_WAR_MENU_01    | Сигурни ли сте че искате да започнете война?
DIPLO_JOINT_WAR_MENU_01      | На кого да обявим война?
DIPLO_BREAK_ALLIANCE_MENU_01 | Кой съюз да прекратим?
DIPLO_OFFER_AID_MENU_01      | Какво искате да предоставите?
DIPLO_OFFER_TECH_MENU_01     | Какво искате да предоставите?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] отказва.
DECLINE_OFFER_02           | [my_race] са обмислили предложението ви и са го отхвърлили.
DECLINE_OFFER_03           | С уважение отказваме офертата Ви.
DECLINE_OFFER_04           | Понастоящем не се интересуваме.
DECLINE_OFFER_05           | [my_race] ние не считаме офертата ви за справедлива.
DECLINE_OFFER_06           | В момента не би било в наш интерес да приемем офертата ви.
DECLINE_OFFER_07           | Може би сте ни помислили за наивници, отхвърляме вашето предложение.
DECLINE_OFFER_08           | Вашето предложение не ни изглежда справедливо.
DECLINE_OFFER_09           | Опасявам се че трябва да откажем.

DECLINE_ENEMY_ALLY_01      | [my_race] никога не би имал работа със съюзници на врага [other_race].
DECLINE_ALREADY_ALLIED_01  | The [my_race] и нашите съюзници не могат да разгледат молбата ви, докато сте в съюз с други империи.
DECLINE_NO_WAR_ON_ALLY_01  | Ние не бихме обявили война на нашите съюзници.
DECLINE_PEACE_TREATY_01    | Ние не бихме нарушили нашия мирен договор с [other_race].

DECLINE_ANNOYED_01         | [your_race] са същества с много думи и малко действие. Уморихме се от вашето бърборене.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], тествате нашето търпение. Може би трябва да говорим отново по-късно.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] чух достатъчно. Ще говорим отново по-късно. 
DECLINE_ANNOYED_02         | Уморихме се от дипломатически преговори. Можем да продължим дискусиите си по-късно.
DECLINE_ANNOYED_02         | Тези преговори никъде не ни водят. Време е да си тръгнем.
DECLINE_ANNOYED_02         | Тръгваме си.
DECLINE_ANNOYED_03         | Хиляди извинения, [your_nameTitle] [your_name], но други задължения изискват нашето внимание.
DECLINE_ANNOYED_03         | Извинете ни, но времето ни свърши.
DECLINE_ANNOYED_03         | Имаме малко време и много за вършене. Надявам се, че можем да поговорим отново по-късно.

DECLINE_OATHBREAKER_01     | Понастоящем не сме склонни да сключваме договор, защото имате история с нарушаване на договори.
DECLINE_OATHBREAKER_01     | Не сте спазили предишните си споразумения. Не виждаме причина да ви се доверяваме сега.
DECLINE_OATHBREAKER_01     | Защо трябва да ви вярваме сега, след като сте нарушили толкова много предишни договори?
DECLINE_OATHBREAKER_01     | Не виждаме причина да се съгласим с някой, който не е изпълнявал предишни обещания.
DECLINE_OATHBREAKER_01     | Няма да се занимаваме с [your_race], която няма чест.

DECLINE_ESPIONAGE_01       | Вие, крадливи кучета, крадете плодовете на нашите изследвания. Ние отказваме вашата заявка.
DECLINE_ESPIONAGE_01       | Нашата технология е за [my_race] раса. Нямаш право да я крадеш. Ще говорим, когато спрете да крадете.
DECLINE_ESPIONAGE_01       | Защо трябва да ви даваме каквото и да било? Вашите шпиони вече крадат всичко необходимо!
DECLINE_ESPIONAGE_01       | Как можете да очаквате да приемем, когато вашите шпиони крадат нашата технология?
DECLINE_ESPIONAGE_01       | Премахнете шпионите си, тогава ще поговорим.

DECLINE_SABOTAGE_01        | Не сме забравили последния инцидент в който ни саботирахте. Докато не си заслужите да ви се доверим, ние няма да се занимаваме с вас.
DECLINE_SABOTAGE_01        | Нашите хора са страдали от вашия саботаж. Няма да се занимаваме с вас, докато не спрете да ни саботирате.
DECLINE_SABOTAGE_01        | Какво! Очаквате да се съгласим, когато саботирате нашите [target]?
DECLINE_SABOTAGE_01        | Вие унищожавате нашия [target]. Защо трябва да се занимаваме с вас?
DECLINE_SABOTAGE_01        | Когато спрете да саботирате нашия [target], ще можем отново да разгледаме въпроса.

DECLINE_BUILDUP_01         | Няма да говорим за това, докато трупате кораби близо до нашите граници.
DECLINE_BUILDUP_01         | Премахнете вашите кораби от нашите граници и ние ще обмислим предложението ви. Докато не ги махнете, ние не се интересуваме.
DECLINE_BUILDUP_01         | Вашите кораби по нашите граници не представляват заплаха за нас. Но въпреки това, отказваме да се разправим, докато са тук. 
DECLINE_BUILDUP_01         | Ако искате да търгувате с [my_empire], изпратете вашите кораби да заплашват други, а не нас.

DECLINE_ENCROACH_01        | Вашите кораби навлизат в [my_race] територия. Преместете ги, тогава ще поговорим.

DECLINE_SKIRMISH_01        | Вие атакувате нашите кораби без провокация и очаквате да приемем? Ние отказваме офертата.
DECLINE_SKIRMISH_01        | Не можем да приемем оферта от този, който атакува нашите кораби. 
DECLINE_SKIRMISH_01        | След като флотите ви спрат да атакуват нашите, можем да поговорим.
DECLINE_SKIRMISH_01        | Ако искате да комуникирате с [my_empire], оставете нашите флоти на мира.
DECLINE_SKIRMISH_01        | [my_nameTitle] [my_name] не оценява унищожаването на нашите флоти. Не приемаме.

DECLINE_ATTACK_01          | Неоправданото ви нападение над [system] не ви оставя място за пазарлък.
DECLINE_ATTACK_01          | Не сме забравили атаката над [system] колония. Няма начин да приемем.

DECLINE_INVASION_01        | Нашите хора не искат да се занимават с убийците на [system]. Първо си поправете грешките.
DECLINE_INVASION_01        | Кръвта по [system] е петно на думите ви. Не можем да приемем вашата оферта.
DECLINE_INVASION_01        | Мъртвите от [system] плачат за възмездие. Чуваме техния рев по-силно от предложението ви.

DECLINE_BIOWEAPONS_01      | [my_race] няма да сключва сделки с раса, която би използвала биологични оръжия.
DECLINE_BIOWEAPONS_01      | Не можем да се занимаваме с някой, толкова отчаян, че да използва биологични оръжия.
DECLINE_BIOWEAPONS_01      | Използвате оръжия, които причиняват неизказани ужаси на невинното население. Отказваме да преговаряме с такава лудост.
DECLINE_BIOWEAPONS_01      | Боговете се отвращават от онези, които биха унищожили планетите с биологично оръжие. [my_race] няма да го позволи.
DECLINE_BIOWEAPONS_01      | Виковете на убитите от вашето биологично оръжие ни кънтят в ушите. Не можем да чуем вашата оферта.

DECLINE_ANNOYED_01         | Уморихме се от дипломатически преговори. Можем да продължим дискусиите в друг ден.
DECLINE_ANNOYED_01         | Тези разговори водят до никаде. Тръгваме си.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] е чул достатъчно. Ще говорим отново по-късно. 
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], тествате нашето търпение. Може би трябва да говорим отново по-късно.
DECLINE_ANNOYED_01         | Хиляди извинения, [your_nameTitle] [your_name], но други задължения изискват вниманието ми.
DECLINE_ANNOYED_01         | Имаме малко време и много за вършене. Може би ще можем да поговорим отново по-късно.
DECLINE_ANNOYED_01         | [your_race] са същества с много думи и малко действие. Уморихме се от вашето бърборене.
DECLINE_ANNOYED_01         | Сега тръгваме.
DECLINE_ANNOYED_01         | Извинете ни, но времето ни свърши.

DECLINE_TECH_TRADE_01      | Нямате технология, която да ни интересува.
DECLINE_TECH_TRADE_01      | Ние нямаме нужда от [your_race] играчки.
DECLINE_TECH_TRADE_01      | Вашите примитивни изобретения не ни интересуват.
DECLINE_TECH_TRADE_01      | [my_race] са далеч отвъд вашата технология. 
DECLINE_TECH_TRADE_01      | [your_nameTitle] [your_name], нямаме особена нужда от това, което ни предлагат вашите учени.
DECLINE_TECH_TRADE_01      | [my_nameTitle] [my_name] няма особен интерес към вашата технология.

OFFER_TECH_EXCHANGE_01     | [your_empire] има голяма нужда от вашата [tech] технология. Може би сте готови да я замените за някои от нашите технологии.
OFFER_TECH_EXCHANGE_01     | [your_empire] знае, че сте научили тайните на [tech]. Можем ли да ви предложим наша технология в замяна?
OFFER_TECH_EXCHANGE_01     | [your_nameTitle] [your_name] от [your_empire] желае тайната на [tech] технология. Ще я замените ли за някоя от нашите технологии?
OFFER_TECH_EXCHANGE_01     | [your_race] раса е впечатлена от научните чудеса на [tech]. Какво можем да ви предложим за нея?

ACCEPT_TECH_EXCHANGE_01    | Съгласен съм. [my_nameTitle] [my_name] се съгласява да размени чудните [my_race] тайни на [techGiven] за технологията [techReceived].
ACCEPT_FINANCIAL_AID_01    | [my_nameTitle] [my_name] приема подаръка ви от [amt] ВС.
ACCEPT_TECHNOLOGY_AID_01   | [my_nameTitle] [my_name] приема подаръка ви [tech].

BREAK_TRADE_01             | [my_race] гражданите нямат повече желание за търговия със стоки от [your_empire].
ANNOUNCE_TRADE_01          | От [year], [my_empire] и [your_empire] започват да търгуват [amt] BC на година.

ANNOUNCE_PEACE_01          | В годината [year] [my_race] и [your_race] се съгласяват да прекратят всички военни действия.
ANNOUNCE_PEACE_01          | [my_nameTitle] [my_name] нарежда всички военни действия да приключат между нашите империи.
ACCEPT_PEACE_01            | Съгласни сме, че е дошъл моментът да сложим край на нашите дребни спорове.
ACCEPT_PEACE_01            | Приемаме вашето предложение за мир. Прекратете огъня срещу [my_race] войски, и ние ще спрем да атакуваме вашите.
ACCEPT_PEACE_01            | Уморяваме се от това безсмислено унищожение. [my_empire] приема вашето предложение за мир.

BREAK_PACT_01              | Предупреждение към [your_empire] от [my_race]: нашият Пакт за ненападение приключи!
ANNOUNCE_PACT_01           | В годината [year], [my_empire] приема да се включи към Пакта за ненападение и да не атакува [your_race] флоти, освен ако не обикалят някоя от нашите колонии.
ACCEPT_PACT_01             | [my_empire] се съгласява с Пакт за ненападение. Нито една от страните няма да атакува флота на другия, освен ако не влезе в орбитата на противоположна колония.
ACCEPT_PACT_01             | Ако се съгласите да не изпращате кораби до някоя от нашите колонии, [my_race] се заклеват да не атакуват нито един от вашите кораби.
