//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Ne tür bir teknoloji ilgini çeker?
DIPLO_TECH_COUNTER_MENU_01   | Bunun için ne teklif ediyorsun?
DIPLO_TRADE_MENU_01          | Aşağıdakiler için bir ticaret anlaşması öneriyorsun:
DIPLO_TREATY_MENU_01         | Ne yapmak istiyorsun?
DIPLO_THREATEN_MENU_01       | Tehdidin nedir?
DIPLO_DECLARE_WAR_MENU_01    | Savaş başlatmak istediğinden emin misin?
DIPLO_JOINT_WAR_MENU_01      | Kime savaş açmalıyız?
DIPLO_BREAK_ALLIANCE_MENU_01 | Hangi ittifakı bozmalıyız?
DIPLO_OFFER_AID_MENU_01      | Ne vermek istiyorsun?
DIPLO_OFFER_TECH_MENU_01     | Ne vermek istiyorsun?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] reddediyor.
DECLINE_OFFER_02           | [my_race] teklifini değerlendirdi ve reddetti.
DECLINE_OFFER_03           | Teklifini saygıyla reddediyoruz.
DECLINE_OFFER_04           | Şu an ilgilenmiyoruz.
DECLINE_OFFER_05           | [my_race] teklifini adil bulmuyor.
DECLINE_OFFER_06           | Şu anda teklifini kabul etmek bizim yararımıza olmaz.
DECLINE_OFFER_07           | Belki de bizi saf aptallarla karıştırdın. Teklifini reddediyoruz.
DECLINE_OFFER_08           | Teklifin bize adil görünmüyor.
DECLINE_OFFER_09           | Maalesef reddedeceğiz.

DECLINE_ENEMY_ALLY_01      | [my_race], nefret ettiğimiz [other_race] ulusunun müttefikleriyle iş tutmaz.
DECLINE_ALREADY_ALLIED_01  | [my_race] ve müttefiklerimiz, diğer imparatorluklarla müttefik olduğun sürece isteğini dikkate alamaz.
DECLINE_NO_WAR_ON_ALLY_01  | Müttefiklerimize savaş ilan etmeyeceğiz.
DECLINE_PEACE_TREATY_01    | [other_race] ile barış anlaşmamızı bozmayacağız.

DECLINE_ANNOYED_01         | [your_race] alevden çok duman çıkaran yaratıklar. Senin gevezeliğinden bıktık.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], sabrımızı deniyorsun. Belki şimdi susup, sonra konuşmalısın.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] yeterince dinledi. Daha sonra tekrar konuşacağız. 
DECLINE_ANNOYED_02         | Diplomatik müzakerelerden bıktık. Görüşmelere daha sonra devam edebiliriz.
DECLINE_ANNOYED_02         | Bu konuşmalar bizi bir yere götürmez. İznimizi isteyelim.
DECLINE_ANNOYED_02         | Gidiyoruz.
DECLINE_ANNOYED_03         | Binlerce özür, [your_nameTitle] [your_name], ancak diğer görevler bizi çağırıyor.
DECLINE_ANNOYED_03         | Affedersin, ama zamanımız sona erdi.
DECLINE_ANNOYED_03         | Çok az zamanımız ve yapacak çok işimiz var. Belki daha sonra tekrar konuşabiliriz.


DECLINE_OATHBREAKER_01     | Geçmişte anlaşmalar bozduğun için şu anda bir anlaşmaya girmek istemiyoruz.
DECLINE_OATHBREAKER_01     | Geçmişteki anlaşmalarına uymadın. Şimdi sana güvenmek için çok az sebep görüyoruz.
DECLINE_OATHBREAKER_01     | Geçmişte birçok anlaşma ihlal etmişken, şimdi sana neden güvenelim?
