//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | O akú technológiu máte záujem?
DIPLO_TECH_COUNTER_MENU_01   | Za čo ju chcete vymeniť?
DIPLO_TRADE_MENU_01          | Navrhujete obchodnú dohodu za:
DIPLO_TREATY_MENU_01         | Čo si želáte?
DIPLO_THREATEN_MENU_01       | Čím chcete pohroziť?
DIPLO_DECLARE_WAR_MENU_01    | Určite chcete vyhlásiť vojnu?
DIPLO_JOINT_WAR_MENU_01      | Komu máme vyhlásiť vojnu?
DIPLO_BREAK_ALLIANCE_MENU_01 | Ktoré spojenectvo chcete ukončiť?
DIPLO_OFFER_AID_MENU_01      | Čo chcete darovať?
DIPLO_OFFER_TECH_MENU_01     | Čo chcete darovať?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] odmieta.
DECLINE_OFFER_02           | [my_race_plural] zvážili ponuku a odmietli ju.
DECLINE_OFFER_03           | Vašu ponuku s úctou odmietame.
DECLINE_OFFER_04           | Momentálne nemáme záujem.
DECLINE_OFFER_05           | [my_race_plural] nepovažujú vašu ponuku za dostatočnú.
DECLINE_OFFER_06           | Momentálne nie je v našom záujme prijať vašu ponuku.
DECLINE_OFFER_07           | Možno ste si nás pomýlili s dôverčivými hlupákmi. Vašu ponuku odmietame.
DECLINE_OFFER_08           | Vaša ponuka sa nám nezdá férová.
DECLINE_OFFER_09           | Obávame sa, že musíme odmietnuť.

DECLINE_ENEMY_ALLY_01      | [my_race_plural] nejedná so spojencami nenávidenej rasy [other_race_akuzativ].
DECLINE_ALREADY_ALLIED_01  | [my_race_plural] a naši spojenci nemôžu zvážiť vašu žiadosť, pokiaľ ste spojencami iných ríš.
DECLINE_NO_WAR_ON_ALLY_01  | Nevyhlásime vojnu našim spojencom.
DECLINE_PEACE_TREATY_01    | Mierovú zmluvu s [other_race_instrumental] neporušíme.

DECLINE_ANNOYED_01         | [your_race_plural] sú tvory, ktoré toho veľa natárajú, ale veľa neurobia. Už nás unavujete.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], pokúšate našu trpezlivosť. Možno by sme sa mali porozprávať niekedy inokedy.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] už počul dosť. Porozprávame sa neskôr. 
DECLINE_ANNOYED_02         | Tieto diplomatické rozhovory nás už unavujú. V rokovaniach môžeme pokračovať inokedy.
DECLINE_ANNOYED_02         | Tieto rozhovory nikam nevedú. Už musíme ísť.
DECLINE_ANNOYED_02         | Odchádzame.
DECLINE_ANNOYED_03         | Tisíc ospravedlnení, [your_nameTitle] [your_name], ale volajú nás iné povinnosti.
DECLINE_ANNOYED_03         | Ospravedlňte nás. Náš čas už vypršal.
DECLINE_ANNOYED_03         | Máme málo času a veľa práce. Možno sa budeme môcť porozprávať niekedy inokedy.


DECLINE_OATHBREAKER_01     | Momentálne s vami nie sme ochotní uzavrieť zmluvu. V minulosti ste dohody porušovali.
