// race-specific variables (must start with _)
_empire                           | 蟻族巢穴, 克拉肯巢穴, 克洛克巢穴, 節肢族巢穴, 鞘翅族巢穴
_race                             | 蟻族, 克拉肯族, 克洛克族, 節肢族, 鞘翅族
_race_plural                      | 蟻族, 克拉肯族, 克洛克族, 節肢族, 鞘翅族
_title                            | 統治者
_nameTitle                        |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | [player_name]
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 我的飛船終於完工了。我必須使用我的偵察機爲我的殖民飛船尋找新的世界。
MAIN_ADVISOR_TRANSPORT            | 我已經在這個新世界建立了自己的地盤。我必須從我的家鄉派出更多蟻族來擴展它。這裏沒有新的生命，所以我的探索還在繼續。
MAIN_ADVISOR_DIPLOMACY            | 終於迎來新的生命！通過聲音和手勢進行交流是一種多麼奇怪的生命形式。在採取下一步行動之前，我必須研究有關他們的外交和情報信息。
MAIN_ADVISOR_SHIP_ENGINE          | 我繼續改進我的航天器引擎。我必須重新審視我的船舶設計了，將它整合到我的艦隊中。

MAIN_ADVISOR_RALLY_POINTS         | 他們爲什麼要攻擊我？我不明白。我必須爲我的船隻選擇一個集結點來保護自己，同時我得試圖理解爲什麼會發生這種情況。
MAIN_ADVISOR_MISSILE_BASES        | 我現在發現了，並不是所有生命都學會了合作的好處。我必須用導彈基地武裝我的外部世界，以確保我領地的安全。
MAIN_ADVISOR_SHIP_WEAPON          | 我繼續前進，一旦我將它們集成到我的艦船設計中，我的新武器技術就會賦予我更多的力量。
MAIN_ADVISOR_COUNCIL              | 激動！許多物種的會議很快就會舉行。那裏會聚集哪些生命體？如果我讓認識的種族都對我產生好感，也許他們會更主動地把我給介紹給新的種族。
MAIN_ADVISOR_REBELLION            | 發生了什麼？我在%1失去了對自己的控制。無論如何，我需要親自去到那裏，並找回自己的控制。

MAIN_ADVISOR_RESIST_COUNCIL       | 不可能！另一個生命被選中來統治這些愚蠢的傻瓜，而我的智慧卻被忽視了！不管怎樣：我會立即將他們全部消滅！
MAIN_ADVISOR_COUNCIL_RESISTED     | 爲什麼這些傻瓜堅持做讓人討厭的事情？議會是我的，銀河系是我的，現在他們將知道他們確實在我的統治下！

MAIN_SCOUT_TITLE                  | 我發現了一個新的星球。
MAIN_COLONIZE_TITLE               | 我正在環繞%1飛行，這是一個沒有被殖民的星球。
MAIN_COLONIZE_ANIMATION_TITLE     | 在%1年，我建立了一個新的殖民地。
MAIN_ALERT_SPY_CAPTURED           | 我逮住了一個來自[alien_empire]的間諜，他坦白了他們的%2活動。
MAIN_ALERT_TRANSPORTS_KILLED      | 我想要抵達%1的嘗試被在那裏防禦的[alien_race]軍隊阻止了。
MAIN_ALERT_INVADERS_KILLED        | %2個[alien_race]軍隊想要入侵%1，他們被我徹底毀滅了。

MAIN_BOMBARD_TITLE                | 我正在環繞敵人[alien_race]的殖民地。
TECH_RESEARCH_COMPUTER            | 我必須選擇下一個需要研究的計算科學。
TECH_RESEARCH_CONSTRUCTION        | 我必須選擇下一個需要研究的製造技術。
TECH_RESEARCH_FORCE_FIELD         | 我必須選擇下一個需要研究的力場技術。
TECH_RESEARCH_PLANETOLOGY         | 我必須選擇下一個需要研究的行星學技術。
TECH_RESEARCH_PROPULSION          | 我必須選擇下一個需要研究的動力學技術。
TECH_RESEARCH_WEAPON              | 我必須選擇下一個需要研究的武器技術。
TECH_DISCOVERY_TITLE              | 我獲得了一個%1突破。
TECH_SCOUTED_TITLE                | 在探索%1的遺蹟時，我發現了一個新的科技。
TECH_STOLEN_TITLE                 | 我成功潛入了位於%2的%1研究所。
TECH_TRADED_TITLE                 | 我從[alien_race]學會了科技。
TECH_PLUNDERED_TITLE              | 在掠奪%1的遺蹟時，我發現了一個新技術。
TECH_ALLOCATE_SHIELD              | 我是否應該提高各個殖民地的防禦開支佔比，以建造新的護盾呢？
TECH_ALLOCATE_MISSILE_BASES       | 我是否應該提高各個殖民地的防禦開支佔比，以升級導彈基地呢？
TECH_ALLOCATE_FACTORIES           | 我是否應該提高各個殖民地的工業開支佔比，以升級工廠呢？
TECH_ALLOCATE_CLEAN_WASTE         | 我是否應該減少各個殖民地的生態開支佔比，只保持各個星球的乾淨呢？
TECH_ALLOCATE_ENRICH_SOIL         | 我是否應該提高普通環境殖民地的生態開支佔比，來開始行星改造呢？
TECH_ALLOCATE_ATMOSPHERE          | 我是否應該提高惡劣環境殖民地的生態開支佔比，以開始行星的生態改造呢？
