//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Ce tip de tehnologie vă interesează?
DIPLO_TECH_COUNTER_MENU_01   | Ce veți oferi în schimb?
DIPLO_TRADE_MENU_01          | Propuneți un acord comercial pentru:
DIPLO_TREATY_MENU_01         | Ce doriți să faceți?
DIPLO_THREATEN_MENU_01       | Ce amenințați?
DIPLO_DECLARE_WAR_MENU_01    | Sunteți siguri că doriți să începeți un război?
DIPLO_JOINT_WAR_MENU_01      | Pe cine ar trebui să declarăm război?
DIPLO_BREAK_ALLIANCE_MENU_01 | Ce alianță ar trebui să rupem?
DIPLO_OFFER_AID_MENU_01      | Ce doriți să oferiți?
DIPLO_OFFER_TECH_MENU_01     | Ce doriți să oferiți?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] refuză.
DECLINE_OFFER_02           | [my_race] v-au luat în considerare oferta și am respins-o.
DECLINE_OFFER_03           | Respingem respectuos oferta voastră.
DECLINE_OFFER_04           | Nu suntem interesați în acest moment.
DECLINE_OFFER_05           | [my_race] nu consideră că oferta voastră este echitabilă.
DECLINE_OFFER_06           | Nu ar fi în interesul nostru să acceptăm oferta voastră în acest moment.
DECLINE_OFFER_07           | Poate că ne-ați confundat cu proști creduli. Respingem oferta voastră.
DECLINE_OFFER_08           | Oferta voastră nu pare a fi echitabilă.
DECLINE_OFFER_09           | Ne temem că trebuie să refuzăm.

DECLINE_ENEMY_ALLY_01      | [my_race] nu ar lucra niciodată cu aliații [other_race].
DECLINE_ALREADY_ALLIED_01  | [my_race] și aliații noștri nu vă pot lua în considerare cererea atâta timp cât sunteți aliați cu alte imperii.
DECLINE_NO_WAR_ON_ALLY_01  | Nu vom declara război aliaților noștri.
DECLINE_PEACE_TREATY_01    | Nu vom încălca tratatul nostru de pace cu [other_race].

DECLINE_ANNOYED_01         | [your_race] sunt creaturi de multă vorbă și puțină acțiune. Ne-am săturat de vorbăria voastră.
