//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | An welcher Technologie hättet ihr Interesse?
DIPLO_TECH_COUNTER_MENU_01   | Was würdet Ihr uns dafür geben?
DIPLO_TRADE_MENU_01          | Euer Vorschlag ist ein Handelsabkommen über:
DIPLO_TREATY_MENU_01         | Ihr könnt ein Abkommen vorgeschlagen.
DIPLO_THREATEN_MENU_01       | Womit drohen Sie?
DIPLO_DECLARE_WAR_MENU_01    | Wem sollten wir den Krieg erklären?
DIPLO_JOINT_WAR_MENU_01      | Wem sollten wir den Krieg erklären?
DIPLO_BREAK_ALLIANCE_MENU_01 | Welche Allianz sollen wir auflösen?
DIPLO_OFFER_AID_MENU_01      | Was möchten Sie schenken?
DIPLO_OFFER_TECH_MENU_01     | Was möchten Sie schenken?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] lehnt ab.
DECLINE_OFFER_02           | Die [my_race] haben Euer Angebot beraten und es abgelehnt.
DECLINE_OFFER_03           | Wir weisen das Angebot respektvoll zurück.
DECLINE_OFFER_04           | Wir haben zur Zeit kein Interesse.
DECLINE_OFFER_05           | Die [my_race] denken, dass das Angebot nicht ausgewogen war.
DECLINE_OFFER_06           | Es wäre nicht in unserem Interesse, das Angebot jetzt anzunehmen.
DECLINE_OFFER_07           | Vielleicht habt Ihr uns für leichtgläubige Narren verwechselt. Wir lehnen Ihr Angebot ab.
DECLINE_OFFER_08           | Euer Angebot scheint nicht fair zu sein.
DECLINE_OFFER_09           | Wir müssen leider ablehnen.

DECLINE_ENEMY_ALLY_01      | Die [my_race] würden niemals mit den Verbündeten der verhassten [other_race] handeln.
DECLINE_ALREADY_ALLIED_01  | Die [my_race] und unsere Verbündeten können Ihre Anfrage nicht berücksichtigen, solange Sie mit anderen Imperien verbündet sind.
DECLINE_NO_WAR_ON_ALLY_01  | Wir werden unseren Verbündeten nicht den Krieg erklären.
DECLINE_PEACE_TREATY_01    | Wir werden unseren Friedensvertrag mit der [other_race].

DECLINE_ANNOYED_01         | Die [your_race] reden viel und tun wenig. Wir haben genug von Eurem Geschätz.
DECLINE_ANNOYED_01         | Anführer [your_name], Ihr strapeziert unsere Geduld. Vielleicht sollten wir es später nochmal versuchen.
