//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Τι είδους τεχνολογία σας ενδιαφέρει?
DIPLO_TECH_COUNTER_MENU_01   | Με τι θα εμπορευτείτε για αυτό?
DIPLO_TRADE_MENU_01          | Προτείνετε εμπορική συμφωνία για:
DIPLO_TREATY_MENU_01         | Τι επιθυμείτε να κάνετε?
DIPLO_THREATEN_MENU_01       | Τι απειλείτε?
DIPLO_DECLARE_WAR_MENU_01    | Είστε βέβαιοι ότι θέλετε να αρχίσετε έναν πόλεμο?
DIPLO_JOINT_WAR_MENU_01      | Σε ποιον επιθυμείτε να κυρήξουμε πόλεμο?
DIPLO_BREAK_ALLIANCE_MENU_01 | Ποια συμμαχία θα πρέπει να διακόψουμε?
DIPLO_OFFER_AID_MENU_01      | Τι επιθυμείτε να προσφέρουμε?
DIPLO_OFFER_TECH_MENU_01     | Τι επιθυμείτε να προσφέρουμε?

DECLINE_OFFER_01           | Άρνηση προσφοράς από [my_nameTitle] [my_name].
DECLINE_OFFER_02           | Οι[my_race] εξέτασαν την προσφορά σας, και την απέρριψαν.
DECLINE_OFFER_03           | Μετά τιμής αρνούμαστε την προσφορά σας.
DECLINE_OFFER_04           | Δεν μας ενδιαφέρει επί του παρόντος.
DECLINE_OFFER_05           | Οι [my_race] δεν θεωρούν την προσφορά σας δίκαιη.
DECLINE_OFFER_06           | Δε θα ήταν προς το συμφέρον μας να αποδεχτούμε την προσφορά σας τη συγκεκριμένη στιγμή.
DECLINE_OFFER_07           | Πιθανόν να μας θεώρησες ευκολόπιστους βλάκες. Απορρίπτουμε την προσφορά σου.
DECLINE_OFFER_08           | Η προσφορά σου δεν μας φαίνεται δίκαιη.
DECLINE_OFFER_09           | Λυπούμαστε αλλά θα πρέπει να αρνηθούμε.

DECLINE_ENEMY_ALLY_01      | Οι [my_race] δεν θα έκαναν ποτέ συμφωνία με συμμάχους των μισητών [other_race]
DECLINE_ALREADY_ALLIED_01  | Οι [my_race] και οι σύμμαχοι μας δεν μπορούν καν να αξιολογήσουν καν την προσφορά σου όσο συμμαχείς με άλλες αυτοκρατορίες.
DECLINE_NO_WAR_ON_ALLY_01  | ΔΕΝ θα κυρήξουμε πόλεμο στους συμμάχους μας.
DECLINE_PEACE_TREATY_01    | ΔΕΝ θα διακόψουμε την συνθήκη ειρήνης που έχουμε με τους [other_race].

DECLINE_ANNOYED_01         | Οι [your_race] είναι όντα των πολλών λόγων και των λίγων πράξεων. Μας κούρασε η φλυαρία σας.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], δοκιμάζεις την υπομονή μας. Ίσως θα έπρεπε να ξαναέρθεις λίγο αργότερα.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] άκουσε αρκετά. Θα τα ξαναπούμε αργότερα.
DECLINE_ANNOYED_02         | Μας κουράζουν οι διπλωματικές διαπραγματεύσεις. Μπορούμε να συνεχίσουμε τις συνομιλίες κάποια άλλη στιγμή.
DECLINE_ANNOYED_02         | Αυτές οι συζητήσεις δεν βγάζουν πουθενά. Αποχωρούμε.
DECLINE_ANNOYED_02         | Φεύγουμε τώρα.
DECLINE_ANNOYED_03         | Χίλια συγνώμη, [your_nameTitle] [your_name], αλλά το καθήκον μας καλεί αλλού.
DECLINE_ANNOYED_03         | Να μας συγχωρείς, αλλά η ώρα είναι προχωρημένη.
DECLINE_ANNOYED_03         | Έχουμε πολλά να κάνουμε και λίγο χρόνο. Πιθανώς να μπορέσουμε να μιλήσουμε αργότερα.


DECLINE_OATHBREAKER_01     | Δεν επιθυμούμε να συνάψουμε συνθήκη επί του παρόντος γιατί έχεις καταστρατηγήσει συνθήκες στο παρελθόν.
DECLINE_OATHBREAKER_01     | Δεν έχει τιμήσει τις συμφωνίες του παρελθόντος. Δεν βλέπουμε να υπάρχει λόγος να σε εμπιστευτούμε ξαφνικά.
DECLINE_OATHBREAKER_01     | Γιατί θα πρέπει να σε εμπιστευτούμε τώρα, όταν έχεις εγκαταλείψει τόσες συνθήκες στο παρελθόν?
DECLINE_OATHBREAKER_01     | Δεν βλέπουμε γιατί να συμφωνήσουμε με κάποιον που πατάει το λόγο του.
DECLINE_OATHBREAKER_01     | Δεν κάνουμε συμφωνίες με τους [your_race] - δεν έχετε τιμή.
DECLINE_ESPIONAGE_01       | Παλιόσκυλα κλέφτες, κλέβετε τους καρπούς της έρευνας μας! Αρνούμαστε την αίτηση σας!
DECLINE_ESPIONAGE_01       | Η τεχνολογία μας προορίζεται για τη φυλή των [my_race]. Δεν έχετε δικαίωμα να την κλέβετε! Θα μιλήσουμε όταν σταματήσετε τις κλεψιές!
DECLINE_ESPIONAGE_01       | Γιατί θα πρέπει να σας δώσουμε οτιδήποτε? Έχετε κατασκόπους που κλέβουν ότι χρειαστείτε!
DECLINE_ESPIONAGE_01       | ΠΩΣ μπορείτε να περιμένετε από εμάς να δεχτούμε όταν οι κατάσκοποι ΣΑΣ κλέβουν την τεχνολογία ΜΑΣ?
DECLINE_ESPIONAGE_01       | Αποσύρετε τους κατασκόπους σας, και μετά μιλάμε.

DECLINE_SABOTAGE_01        | Δεν έχουμε ξεχάσει το πρόσφατο περιστατικό σαμποτάζ. Μέχρι να αποδείξετε πως είστε πια αξιόπιστοι δεν συνάπτουμε συμφωνίες μαζί σας.
DECLINE_SABOTAGE_01        | Ο λαός μας έχει υποφέρει απο το σαμποτάζ που κάνατε. Δεν διαπραγματευόμαστε αν δεν σταματήσετε.
DECLINE_SABOTAGE_01        | ΠΩΣ? Περιμένετε από εμάς να συμφωνήσουμε, ενώ κάνετε σαμποτάζ σε [target]?
DECLINE_SABOTAGE_01        | Καταστρέφετε [target] μας. Γιατί να διαπραγματευτούμε μαζί σας?
