//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Jaki rodzaj technologii was interesuje?
DIPLO_TECH_COUNTER_MENU_01   | Co za nią przehandlujecie?
DIPLO_TRADE_MENU_01          | Proponujesz umowę handlową:
DIPLO_TREATY_MENU_01         | Co chcesz zrobić?
DIPLO_THREATEN_MENU_01       | Czym chcesz zagrozić?
DIPLO_DECLARE_WAR_MENU_01    | Czy na pewno chcesz wypowiedzieć wojnę?
DIPLO_JOINT_WAR_MENU_01      | Komu powinniśmy wypowiedzieć wojnę?
DIPLO_BREAK_ALLIANCE_MENU_01 | Który sojusz powinniśmy zerwać?
DIPLO_OFFER_AID_MENU_01      | Co chcesz przekazać?
DIPLO_OFFER_TECH_MENU_01     | Co chcesz przekazać?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] odmawia.
DECLINE_OFFER_02           | Rasa [my_race3] przemyślała waszą ofertę i ostatecznie ją odrzuciła.
DECLINE_OFFER_03           | Z całym szacunkiem odrzucamy waszą ofertę.
DECLINE_OFFER_04           | W tej chwili nie jesteśmy tym zainteresowani.
DECLINE_OFFER_05           | Rasa [my_race3] nie uważa waszej oferty za uczciwą.
DECLINE_OFFER_06           | W tej chwili przyjęcie waszej oferty nie leży w naszym interesie.
DECLINE_OFFER_07           | Macie nas za łatwowiernych głupców? Odrzucamy waszą ofertę.
DECLINE_OFFER_08           | Wasza oferta nie wydaje się uczciwa.
DECLINE_OFFER_09           | Przykro nam, ale musimy odmówić.

DECLINE_ENEMY_ALLY_01      | [my_race] nigdy nie układaliby się z sojusznikami znienawidzonych [other_race3].
DECLINE_ALREADY_ALLIED_01  | [my_race] i nasi sojusznicy nie rozpatrzą waszego żądania kiedy jesteście w sojuszu z innymi imperiami.
DECLINE_NO_WAR_ON_ALLY_01  | Nie wypowiemy wojny sojusznikowi.
DECLINE_PEACE_TREATY_01    | Nie złamiemy traktatu pokojowego z rasą [other_race3].

DECLINE_ANNOYED_01         | Rasa [your_race3] dużo gada a mało robi. Męczy nas wasze gadanie.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name]... sprawdzasz naszą cierpliwość. Być może porozmawiamy później.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] usłyszał wystarczająco wiele. Porozmawiamy później.
DECLINE_ANNOYED_02         | Nużą nas dyplomatyczne negocjacje. Będziemy kontynuować dyskusje kiedy indziej.
DECLINE_ANNOYED_02         | Te rozmowy są bezowocne. Do widzenia.
DECLINE_ANNOYED_02         | Idziemy.
DECLINE_ANNOYED_03         | [your_nameTitle] [your_name]... Stokrotne przeprosiny lecz obowiązki wzywają.
DECLINE_ANNOYED_03         | Prosimy o wybaczenie, ale nasz czas dobiegł końca.
DECLINE_ANNOYED_03         | Mamy mało czasu a wiele do zrobienia. Być może będziemy mogli porozmawiać później.


DECLINE_OATHBREAKER_01     | Nie jesteśmy skłonni do zawarcia traktatu w tym momencie, ponieważ w przeszłości je łamaliście.
DECLINE_OATHBREAKER_01     | Nie dotrzymaliście poprzednich umów. Nie widzimy więc powodu, by ufać wam teraz.
DECLINE_OATHBREAKER_01     | Dlaczego mielibyśmy wam teraz zaufać, skoro złamaliście tak wiele poprzednich traktatów?
DECLINE_OATHBREAKER_01     | Nie widzimy powodu aby zgadzać się z kimś, kto nie wywiązał się z wcześniejszych obietnic.
DECLINE_OATHBREAKER_01     | Nie będziemy się zadawać z rasą [your_race3], którzy nie mają honoru.

DECLINE_ESPIONAGE_01       | Wy złodziejskie psy, kradniecie owoce naszych badań. Odrzucamy wasze żądanie.
DECLINE_ESPIONAGE_01       | Nasza technologia jest tylko dla nas, rasy [my_race3]. Nie macie prawa jej kraść. Odezwiemy się, gdy przestaniecie to robić.
DECLINE_ESPIONAGE_01       | Dlaczego mielibyśmy wam dać cokolwiek? Wasi szpiedzy już kradną wszystko, czego potrzebujecie!
DECLINE_ESPIONAGE_01       | Jak mamy się zgodzić, skoro wasi szpiedzy kradną naszą technologię?
DECLINE_ESPIONAGE_01       | Usuńcie swoich szpiegów, wtedy porozmawiamy.

DECLINE_SABOTAGE_01        | Nie zapomnieliśmy ostatniego incydentu sabotażowego. Nie będziemy się z wami zadawać dopóki nie udowodnicie, że jesteście godni zaufania.
DECLINE_SABOTAGE_01        | Nasi ludzie cierpieli z powodu waszego sabotażu. Nie będziemy się z wami zadawać, dopóki nie przestaniecie.
